"","scenario","Bactofuge","PPCFreq","Temp","day","per_exceed1000","per_exceed5mill","per_exceed1mill","per_exceed10mill","per_exceed20mill","per_exceed30mill","per_exceed40mill","per_exceed20000","n_exceed1000","n_exceed5mill","n_exceed1mill","n_exceed10mill","n_exceed20mill","n_exceed30mill","n_exceed40mill","n_exceed20000","n_total"
"188","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","13",68.7,49.5,52.9,48.2,44.3,43.5,44.3,61.5,687,495,529,482,443,435,430,615,1000
"189","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","14",71.7,52.5,55.5,51.3,47.7,46.9,47.7,64.3,717,525,555,513,477,469,465,643,1000
"190","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","15",73.7,54.7,58.4,54.2,50.4,49.3,50.4,67,737,547,584,542,504,493,492,670,1000
"191","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","16",75.9,57.7,61,56.2,52.3,51.6,52.3,68.4,759,577,610,562,523,516,516,684,1000
"192","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","17",76.7,59.7,62.9,58.6,54.7,53.6,54.7,71.2,767,597,629,586,547,536,531,712,1000
"193","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","18",77.9,61.1,64.9,60.2,56,55.5,56,73.1,779,611,649,602,560,555,551,731,1000
"194","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","19",78.5,63.2,66.9,61.7,57.7,56.8,57.7,74.9,785,632,669,617,577,568,567,749,1000
"195","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","20",79.3,65.3,68.2,63.9,59.5,58.4,59.5,75.8,793,653,682,639,595,584,581,758,1000
"196","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","21",80,66.6,69.7,65.7,61.5,60.2,61.5,77.2,800,666,697,657,615,602,600,772,1000
"197","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","22",80.7,67.5,71.3,66.9,62.6,61.9,62.6,78.1,807,675,713,669,626,619,614,781,1000
"198","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","23",81.6,69.1,72.8,67.7,63.5,62.8,63.5,78.7,816,691,728,677,635,628,625,787,1000
"199","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","24",82.8,70.5,74.4,69.5,64.6,63.7,64.6,79.1,828,705,744,695,646,637,636,791,1000
"200","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","25",83.5,71.9,75.3,70.8,65.7,65.1,65.7,79.7,835,719,753,708,657,651,645,797,1000
"201","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","26",84.9,73.6,76.1,72,67,66.2,67,80.2,849,736,761,720,670,662,658,802,1000
"202","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","27",85.4,74,76.6,73.7,68.8,67.2,68.8,81,854,740,766,737,688,672,666,810,1000
"203","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","28",86.2,74.5,77.1,74,69.6,68.8,69.6,82,862,745,771,740,696,688,685,820,1000
"204","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","29",86.4,74.9,77.7,74.5,69.8,69.2,69.8,82.5,864,749,777,745,698,692,690,825,1000
"205","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","30",86.6,75.5,78.2,75.1,70.3,69.6,70.3,83.7,866,755,782,751,703,696,692,837,1000
"206","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","31",86.9,75.9,78.9,75.5,70.8,70,70.8,84.2,869,759,789,755,708,700,699,842,1000
"207","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","32",87.5,76.4,79.3,76,70.9,70.2,70.9,84.7,875,764,793,760,709,702,700,847,1000
"208","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","33",88,76.6,79.3,76.4,71.7,70.8,71.7,85.2,880,766,793,764,717,708,703,852,1000
"209","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","34",88.1,76.8,79.8,76.6,72,71,72,85.7,881,768,798,766,720,710,710,857,1000
"210","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","35",88.2,77.1,80.6,76.8,72.1,71.2,72.1,86.2,882,771,806,768,721,712,711,862,1000
"211","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"212","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"213","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","3",0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1000
"214","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","4",0.6,0,0,0,0,0,0,0.2,6,0,0,0,0,0,0,2,1000
"215","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","5",1.3,0,0,0,0,0,0,0.6,13,0,0,0,0,0,0,6,1000
"216","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","6",2.1,0.2,0.5,0.2,0,0,0,1.1,21,2,5,2,0,0,0,11,1000
"217","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","7",3.4,0.3,0.6,0.3,0.3,0.1,0.3,1.5,34,3,6,3,3,1,1,15,1000
"218","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","8",5.2,0.4,0.8,0.4,0.4,0.1,0.4,2.3,52,4,8,4,4,1,1,23,1000
"219","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","9",6.9,0.5,0.9,0.5,0.5,0.1,0.5,3.3,69,5,9,5,5,1,1,33,1000
"220","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","10",8.4,0.6,1.4,0.5,0.5,0.2,0.5,4.6,84,6,14,5,5,2,2,46,1000
"221","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","11",10.3,0.7,1.8,0.7,0.6,0.3,0.6,6.1,103,7,18,7,6,3,3,61,1000
"222","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","12",12.4,0.9,2.1,0.9,0.9,0.4,0.9,7.8,124,9,21,9,9,4,3,78,1000
"223","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","13",15.7,1,2.4,0.9,0.9,0.5,0.9,9.2,157,10,24,9,9,5,5,92,1000
"224","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","14",18.7,1,3.8,1,1,0.6,1,10.5,187,10,38,10,10,6,5,105,1000
"225","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","15",22,1.7,4.8,1.2,1,0.6,1,12.7,220,17,48,12,10,6,6,127,1000
"226","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","16",25.3,2.2,6,2,1.7,0.7,1.7,15.1,253,22,60,20,17,7,7,151,1000
"227","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","17",28.5,2.4,6.7,2.2,2.2,1,2.2,17.4,285,24,67,22,22,10,10,174,1000
"228","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","18",31,2.5,7.5,2.5,2.3,1.1,2.3,19.4,310,25,75,25,23,11,11,194,1000
"229","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","19",34.2,2.8,8.8,2.6,2.5,1.3,2.5,21.6,342,28,88,26,25,13,13,216,1000
"230","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","20",37.3,3.1,10.3,2.9,2.8,1.5,2.8,24.9,373,31,103,29,28,15,14,249,1000
"231","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","21",40.3,3.5,10.8,3.2,3,1.7,3,26.7,403,35,108,32,30,17,17,267,1000
"232","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","22",43,4,11.2,3.7,3.2,1.9,3.2,29.1,430,40,112,37,32,19,19,291,1000
"233","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","23",47,4.2,13.2,4.1,3.8,2.1,3.8,32,470,42,132,41,38,21,19,320,1000
"234","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","24",50.3,4.7,14.2,4.3,4.1,2.3,4.1,35.2,503,47,142,43,41,23,23,352,1000
"235","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","25",52.5,5.2,15.2,4.8,4.4,2.6,4.4,38.1,525,52,152,48,44,26,25,381,1000
"236","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","26",54.7,5.8,16.2,5.3,5,3,5,40.2,547,58,162,53,50,30,28,402,1000
"237","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","27",57.1,6.4,18.6,5.8,5.4,3.1,5.4,43.2,571,64,186,58,54,31,31,432,1000
"238","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","28",59.5,7,20.3,6.4,6,3.6,6,46.3,595,70,203,64,60,36,36,463,1000
"239","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","29",61.1,7.6,21.3,7.1,6.6,3.8,6.6,47.8,611,76,213,71,66,38,37,478,1000
"240","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","30",62.6,8.1,22.8,7.6,7.3,4.4,7.3,50.4,626,81,228,76,73,44,42,504,1000
"241","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","31",63.6,8.5,24,8.1,7.8,4.7,7.8,51.5,636,85,240,81,78,47,46,515,1000
"242","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","32",64.6,8.8,26,8.5,8.1,5.1,8.1,53.6,646,88,260,85,81,51,50,536,1000
"243","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","33",65.8,9.1,27.4,8.9,8.6,5.3,8.6,56.7,658,91,274,89,86,53,52,567,1000
"244","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","34",67.2,9.7,29.6,9.2,8.9,5.8,8.9,59.1,672,97,296,92,89,58,57,591,1000
"245","NB_BestPPCVSL436_CT","NB","BestPPCVSL436","CT","35",68.7,10,30.8,9.7,9.1,5.9,9.1,60.9,687,100,308,97,91,59,59,609,1000
"246","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"247","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"248","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","3",0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1000
"249","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","4",0.6,0,0,0,0,0,0,0.2,6,0,0,0,0,0,0,2,1000
"250","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","5",1.3,0,0,0,0,0,0,0.6,13,0,0,0,0,0,0,6,1000
"251","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","6",2.1,0.2,0.5,0.2,0,0,0,1.1,21,2,5,2,0,0,0,11,1000
"252","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","7",3.4,0.3,0.6,0.3,0.3,0.1,0.3,1.5,34,3,6,3,3,1,1,15,1000
"253","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","8",5.2,0.4,0.8,0.4,0.4,0.1,0.4,2.3,52,4,8,4,4,1,1,23,1000
"254","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","9",6.9,0.5,0.9,0.5,0.5,0.1,0.5,3.3,69,5,9,5,5,1,1,33,1000
"255","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","10",8.4,0.6,1.4,0.5,0.5,0.2,0.5,4.6,84,6,14,5,5,2,2,46,1000
"256","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","11",10.3,0.7,1.8,0.7,0.6,0.3,0.6,6.1,103,7,18,7,6,3,3,61,1000
"257","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","12",12.4,0.9,2.1,0.9,0.9,0.4,0.9,7.8,124,9,21,9,9,4,3,78,1000
"258","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","13",15.7,1,2.4,0.9,0.9,0.5,0.9,9.2,157,10,24,9,9,5,5,92,1000
"259","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","14",18.7,1,3.8,1,1,0.6,1,10.5,187,10,38,10,10,6,5,105,1000
"260","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","15",22,1.7,4.8,1.2,1,0.6,1,12.7,220,17,48,12,10,6,6,127,1000
"261","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","16",25.3,2.2,6,2,1.7,0.7,1.7,15.1,253,22,60,20,17,7,7,151,1000
"262","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","17",28.5,2.4,6.7,2.2,2.2,1,2.2,17.4,285,24,67,22,22,10,10,174,1000
"263","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","18",31,2.5,7.5,2.5,2.3,1.1,2.3,19.4,310,25,75,25,23,11,11,194,1000
"264","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","19",34.2,2.8,8.8,2.6,2.5,1.3,2.5,21.6,342,28,88,26,25,13,13,216,1000
"265","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","20",37.3,3.1,10.3,2.9,2.8,1.5,2.8,24.9,373,31,103,29,28,15,14,249,1000
"266","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","21",40.3,3.5,10.8,3.2,3,1.7,3,26.7,403,35,108,32,30,17,17,267,1000
"267","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","22",43,4,11.2,3.7,3.2,1.9,3.2,29.1,430,40,112,37,32,19,19,291,1000
"268","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","23",47,4.2,13.2,4.1,3.8,2.1,3.8,32,470,42,132,41,38,21,19,320,1000
"269","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","24",50.3,4.7,14.2,4.3,4.1,2.3,4.1,35.2,503,47,142,43,41,23,23,352,1000
"270","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","25",52.5,5.2,15.2,4.8,4.4,2.6,4.4,38.1,525,52,152,48,44,26,25,381,1000
"271","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","26",54.7,5.8,16.2,5.3,5,3,5,40.2,547,58,162,53,50,30,28,402,1000
"272","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","27",57.1,6.4,18.6,5.8,5.4,3.1,5.4,43.2,571,64,186,58,54,31,31,432,1000
"273","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","28",59.5,7,20.3,6.4,6,3.6,6,46.3,595,70,203,64,60,36,36,463,1000
"274","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","29",61.1,7.6,21.3,7.1,6.6,3.8,6.6,47.8,611,76,213,71,66,38,37,478,1000
"275","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","30",62.6,8.1,22.8,7.6,7.3,4.4,7.3,50.4,626,81,228,76,73,44,42,504,1000
"276","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","31",63.6,8.5,24,8.1,7.8,4.7,7.8,51.5,636,85,240,81,78,47,46,515,1000
"277","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","32",64.6,8.8,26,8.5,8.1,5.1,8.1,53.6,646,88,260,85,81,51,50,536,1000
"278","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","33",65.8,9.1,27.4,8.9,8.6,5.3,8.6,56.7,658,91,274,89,86,53,52,567,1000
"279","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","34",67.2,9.7,29.6,9.2,8.9,5.8,8.9,59.1,672,97,296,92,89,58,57,591,1000
"280","NB_BestPPCVSL436_LT","NB","BestPPCVSL436","LT","35",68.7,10,30.8,9.7,9.1,5.9,9.1,60.9,687,100,308,97,91,59,59,609,1000
"281","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"282","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","2",0.7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1000
"283","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","3",13.3,0,1,0,0,0,0,5.7,133,0,10,0,0,0,0,57,1000
"284","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","4",19.6,11.5,12.1,10.4,9.5,9.1,9.5,14.5,196,115,121,104,95,91,84,145,1000
"285","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","5",24.5,12.7,14.2,12.6,12.3,12.3,12.3,19.6,245,127,142,126,123,123,123,196,1000
"286","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","6",26.8,15.2,17.7,14.4,14.3,14.1,14.3,23.6,268,152,177,144,143,141,137,236,1000
"287","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","7",27.8,19.4,21.1,18.6,16.8,16.7,16.8,25.9,278,194,211,186,168,167,166,259,1000
"288","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","8",29.4,22.5,24.6,21.5,20.2,19.7,20.2,26.9,294,225,246,215,202,197,193,269,1000
"289","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","9",31.4,25.2,26.2,24.6,22.7,22.1,22.7,27.2,314,252,262,246,227,221,217,272,1000
"290","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","10",34.2,26.4,26.8,26.3,24.5,24.4,24.5,28.2,342,264,268,263,245,244,239,282,1000
"291","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","11",41.5,26.8,27.2,26.8,25.4,25.3,25.4,29.2,415,268,272,268,254,253,253,292,1000
"292","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","12",48.3,27.2,27.6,27.2,25.6,25.4,25.6,32.4,483,272,276,272,256,254,254,324,1000
"293","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","13",54.5,27.6,27.7,27.3,25.9,25.4,25.9,36.5,545,276,277,273,259,254,254,365,1000
"294","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","14",60.3,27.7,28.2,27.6,26.3,25.4,26.3,42.2,603,277,282,276,263,254,254,422,1000
"295","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","15",64,27.9,28.8,27.9,26.6,25.4,26.6,49.1,640,279,288,279,266,254,254,491,1000
"296","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","16",65.9,28.2,29.3,28.1,26.6,25.4,26.6,53.5,659,282,293,281,266,254,254,535,1000
"297","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","17",67.5,28.4,31.2,28.3,26.9,25.4,26.9,60.2,675,284,312,283,269,254,254,602,1000
"298","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","18",68.5,28.8,33,28.6,27.1,25.6,27.1,64.1,685,288,330,286,271,256,255,641,1000
"299","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","19",68.9,29.7,36.7,29.2,27.5,25.6,27.5,66.3,689,297,367,292,275,256,256,663,1000
"300","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","20",69.8,31.4,41.6,30.4,28.2,26.2,28.2,67.6,698,314,416,304,282,262,258,676,1000
"301","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","21",71.3,32.6,46.4,31.7,29.4,27.2,29.4,68.4,713,326,464,317,294,272,267,684,1000
"302","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","22",72,33.5,49.7,32.7,30.8,28.4,30.8,69.4,720,335,497,327,308,284,282,694,1000
"303","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","23",73.1,34.7,52.6,34.1,31.7,29.4,31.7,70.6,731,347,526,341,317,294,292,706,1000
"304","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","24",73.4,35.2,53.8,34.8,33.1,30.7,33.1,71.6,734,352,538,348,331,307,302,716,1000
"305","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","25",73.5,35.8,55,35.3,33.6,31.3,33.6,72.9,735,358,550,353,336,313,311,729,1000
"306","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","26",73.7,36.1,56.5,35.8,34.4,31.9,34.4,73.1,737,361,565,358,344,319,318,731,1000
"307","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","27",73.7,37,57.9,36.3,34.7,32.4,34.7,73.5,737,370,579,363,347,324,324,735,1000
"308","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","28",73.7,38.4,59.1,37.7,35.5,33.1,35.5,73.5,737,384,591,377,355,331,329,735,1000
"309","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","29",73.7,39.1,59.6,38.5,37.1,34.4,37.1,73.7,737,391,596,385,371,344,339,737,1000
"310","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","30",73.7,40.2,59.9,39.7,37.7,35.4,37.7,73.7,737,402,599,397,377,354,351,737,1000
"311","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","31",73.7,40.5,60,40.2,38.9,36.6,38.9,73.7,737,405,600,402,389,366,362,737,1000
"312","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","32",73.7,40.6,60.2,40.6,39.2,36.8,39.2,73.7,737,406,602,406,392,368,368,737,1000
"313","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","33",73.7,40.8,60.2,40.6,39.3,37.2,39.3,73.7,737,408,602,406,393,372,371,737,1000
"314","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","34",73.7,40.8,60.2,40.8,39.5,37.2,39.5,73.7,737,408,602,408,395,372,372,737,1000
"315","NB_MeanSpoilType_CT","NB","MeanSpoilType","CT","35",73.7,40.8,60.2,40.8,39.5,37.4,39.5,73.7,737,408,602,408,395,374,374,737,1000
"316","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","1",0.2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1000
"317","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","2",0.8,0.4,0.4,0.4,0.3,0.3,0.3,0.7,8,4,4,4,3,3,3,7,1000
"318","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","3",3.3,0.9,1.2,0.8,0.8,0.8,0.8,1.8,33,9,12,8,8,8,8,18,1000
"319","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","4",6.6,2.2,2.6,2.2,2.2,2.1,2.2,4.2,66,22,26,22,22,21,20,42,1000
"320","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","5",9.7,4.2,5,3.8,3.3,3.2,3.3,7.9,97,42,50,38,33,32,32,79,1000
"321","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","6",12.5,6.9,7.6,6.5,5.9,5.9,5.9,9.5,125,69,76,65,59,59,59,95,1000
"322","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","7",16,8.2,9.2,8.1,7.7,7.5,7.7,11.7,160,82,92,81,77,75,74,117,1000
"323","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","8",19,9.7,10.9,9.6,8.9,8.6,8.9,14.5,190,97,109,96,89,86,85,145,1000
"324","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","9",22.2,11.5,12.3,10.9,10.3,10,10.3,16.9,222,115,123,109,103,100,100,169,1000
"325","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","10",24,12.8,14.2,12.2,11.8,11.6,11.8,19.3,240,128,142,122,118,116,114,193,1000
"326","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","11",26,14.2,15.8,13.9,13,12.6,13,20.8,260,142,158,139,130,126,124,208,1000
"327","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","12",27.8,15.4,17.3,15,14.1,13.9,14.1,23.1,278,154,173,150,141,139,135,231,1000
"328","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","13",29.4,16.7,18,16,15,14.5,15,24.9,294,167,180,160,150,145,144,249,1000
"329","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","14",31.5,17.3,19.8,17,16.2,15.8,16.2,26.4,315,173,198,170,162,158,153,264,1000
"330","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","15",33.9,18.4,21.3,18.1,16.9,16.3,16.9,27.8,339,184,213,181,169,163,163,278,1000
"331","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","16",36.6,19.6,22.6,18.7,17.5,17.3,17.5,29.3,366,196,226,187,175,173,173,293,1000
"332","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","17",37.7,20.3,23.3,20,18.9,18,18.9,31.4,377,203,233,200,189,180,176,314,1000
"333","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","18",39.2,20.9,24.3,20.7,19.4,18.8,19.4,32.4,392,209,243,207,194,188,186,324,1000
"334","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","19",40.6,21.6,25.8,21.1,19.9,19.4,19.9,33.8,406,216,258,211,199,194,194,338,1000
"335","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","20",42.4,22.3,27,22.1,20.5,19.7,20.5,35.9,424,223,270,221,205,197,196,359,1000
"336","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","21",43.5,22.6,27.6,22.4,21.4,20.6,21.4,37.2,435,226,276,224,214,206,205,372,1000
"337","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","22",45.2,23.5,28.2,23,21.7,21,21.7,38.2,452,235,282,230,217,210,210,382,1000
"338","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","23",47.2,24,29.4,23.7,22.3,21.4,22.3,39.7,472,240,294,237,223,214,212,397,1000
"339","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","24",48.8,24.6,30.2,24.2,22.9,22,22.9,41.3,488,246,302,242,229,220,220,413,1000
"340","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","25",49.4,25.1,30.9,24.7,23.4,22.7,23.4,42.8,494,251,309,247,234,227,225,428,1000
"341","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","26",50.7,25.8,31.5,25.2,23.9,23.1,23.9,43.9,507,258,315,252,239,231,229,439,1000
"342","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","27",51.9,26.2,33,25.9,24.4,23.3,24.4,45.2,519,262,330,259,244,233,232,452,1000
"343","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","28",52.8,26.8,33.9,26.2,24.9,24,24.9,47.1,528,268,339,262,249,240,238,471,1000
"344","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","29",53.6,26.9,34.5,26.8,25.4,24.2,25.4,47.5,536,269,345,268,254,242,241,475,1000
"345","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","30",54.5,27.6,35.4,26.9,25.8,24.7,25.8,48.6,545,276,354,269,258,247,245,486,1000
"346","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","31",55.1,27.7,35.8,27.6,26.1,24.8,26.1,49.1,551,277,358,276,261,248,248,491,1000
"347","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","32",55.6,28,36.8,27.7,26.4,25.1,26.4,50.2,556,280,368,277,264,251,250,502,1000
"348","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","33",56.2,28.4,37.6,28,26.7,25.5,26.7,51.6,562,284,376,280,267,255,253,516,1000
"349","NB_MeanSpoilType_LT","NB","MeanSpoilType","LT","34",56.7,28.6,38.8,28.5,26.9,25.8,26.9,52.7,567,286,388,285,269,258,257,527,1000
