"","Plant","VSLNumber","SampleID","Day_Initial_Actual","Spoiled20000_yn","AnyGN_yn","exceed20000byD10_yn","exceed100000postD10_yn","HigherSPC_yn","GN_AtLeast2x","spoilagetype","SPC_DI","SPC_D7","SPC_D10","SPC_D14","SPC_D17","SPC_D21","CVTA_DI","CVTA_D7","CVTA_D10","CVTA_D14","CVTA_D17","CVTA_D21","LOD_SPC_DI","LOD_SPC_D7","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_CVTA_DI","LOD_CVTA_D7","LOD_CVTA_D10","LOD_CVTA_D14","LOD_CVTA_D17","LOD_CVTA_D21","Plant_VSLNumber_SampleID"
"96","36-1393","472","51-1",14,"yes","yes","yes","no","yes","yes","ppc",4e+05,"NotTested","NotTested","NotTested","5.7e+07","2.1e+07",4e+05,"NotTested","NotTested","NotTested","1.1e+08","9.6e+07","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","OK","36-1393_472_51-1"
"97","36-1414","470","71",3,"yes","yes","no","no","yes","yes","REVIEW",490,"350","460","670","1500","71000",5,"80","40000","4e+07","2200","1.4e+07","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","aboveLOD","OK","OK","36-1414_470_71"
"98","36-1414","470","71-1",16,"NotSpoiled","no","no","no","no","no","NotSpoiled",110,"110","210","780","NotTested","NotTested",5,"5","5","5","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","36-1414_470_71-1"
"99","36-1414","470","71-2",10,"yes","yes","yes","no","yes","yes","ppc",4e+05,"4e+07","4600000","3.3e+08","NotTested","NotTested",4e+05,"4e+07","4.5e+07","3.5e+08","NotTested","NotTested","aboveLOD","aboveLOD","OK","OK","OK","OK","aboveLOD","aboveLOD","OK","OK","OK","OK","36-1414_470_71-2"
"100","36-1661","467","71",2,"yes","yes","yes","no","yes","yes","ppc",960,"2800","8100000","1.5e+08","NotTested","NotTested",5,"27000","4000","1.4e+08","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1661_467_71"
"101","36-1661","467","72",2,"yes","yes","yes","no","yes","yes","ppc",1500,"14000","2700000","39000","NotTested","NotTested",5,"68000","6600000","6.2e+07","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1661_467_72"
"102","36-1661","467","72-1",2,"yes","no","no","yes","no","no","spore",1500,"1600","1900","160000","NotTested","NotTested",5,"5","5","5","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","36-1661_467_72-1"
"103","36-1661","467","72-2",2,"yes","yes","yes","no","yes","yes","ppc",1700,"2800","350000","7.8e+07","NotTested","NotTested",5,"160","7600","1.3e+07","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1661_467_72-2"
"104","36-1661","467","73",2,"yes","yes","yes","no","yes","yes","ppc",320,"18000","5500000","240000","NotTested","NotTested",5,"14000","4e+06","500","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","belowLOD","OK","OK","36-1661_467_73"
"105","36-1661","467","73-1",2,"yes","yes","yes","no","yes","yes","ppc",270,"4e+05","1.4e+07","3e+08","NotTested","NotTested",40,"4e+05","3300000","4.8e+08","NotTested","NotTested","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-1661_467_73-1"
"106","36-1661","467","73-2",2,"yes","yes","yes","no","yes","yes","ppc",750,"4e+05","3.5e+07","2e+08","NotTested","NotTested",5,"4e+05","5.5e+07","5e+08","NotTested","NotTested","OK","aboveLOD","OK","OK","OK","OK","belowLOD","aboveLOD","OK","OK","OK","OK","36-1661_467_73-2"
"107","36-1661","467","74",2,"yes","yes","yes","no","yes","yes","ppc",700,"11000","5200000","2.3e+08","NotTested","NotTested",5,"11000","5500000","2.8e+08","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1661_467_74"
"108","36-1661","472","21",3,"yes","yes","yes","no","yes","yes","ppc",330,"1400","4e+07","1.1e+09","1.9e+08","8600000",5,"54000","4e+07","1.2e+09","1.7e+08","2.8e+08","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-1661_472_21"
"109","36-1661","472","22",3,"yes","yes","no","yes","yes","yes","spore",230,"410","17000","4e+07","1e+08","1.3e+08",5,"5","16000","4e+07","8e+08","1.6e+08","OK","OK","OK","aboveLOD","OK","OK","belowLOD","belowLOD","OK","aboveLOD","OK","OK","36-1661_472_22"
"110","36-1661","472","22-1",3,"yes","no","no","yes","no","no","spore",410,"190","310","88000","190000","450000",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-1661_472_22-1"
"111","36-1661","472","22-2",3,"yes","yes","yes","no","yes","yes","ppc",240,"4e+05","1.4e+07","4.3e+08","2200000","3.7e+08",100,"4e+05","1.1e+08","1e+09","2.7e+08","3.7e+08","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-1661_472_22-2"
"112","36-1661","472","23",3,"yes","yes","yes","no","yes","yes","ppc",210,"3400","8500000","9.2e+08","4500000","4.7e+07",5,"3600","1e+07","8e+08","50000","80","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","belowLOD","OK","36-1661_472_23"
"113","36-1661","472","24",3,"yes","yes","yes","no","yes","yes","ppc",250,"1300","63000","2.5e+08","9e+05","4700000",5,"860","66000","2.8e+08","50000","12000","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","belowLOD","OK","36-1661_472_24"
"114","36-1880","466","22",3,"yes","no","no","yes","no","no","spore",210,"900","160","510","190000","4600000",5,"5","20","5","5","500","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","belowLOD","belowLOD","belowLOD","36-1880_466_22"
"115","36-1880","466","22-1",3,"yes","yes","no","yes","yes","yes","spore",230,"50","650","620000","5.6e+07","9.1e+08",5,"5","1000","6e+05","5.1e+07","5e+08","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","OK","OK","OK","36-1880_466_22-1"
"116","36-1880","466","22-2",3,"yes","yes","no","yes","no","no","spore",240,"110","80","930","22000","1e+06",5,"5","5","5","5","8000","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","OK","36-1880_466_22-2"
"117","36-1880","466","23",3,"yes","no","no","yes","no","no","spore",250,"320","180","170","64000","5e+06",5,"5","5","5","5","500","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-1880_466_23"
"118","36-1880","466","23-1",3,"yes","no","no","yes","no","no","spore",70,"30","50","1200","36000","1900000",5,"5","5","5","5","500","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-1880_466_23-1"
"119","36-1880","466","24",3,"yes","no","no","yes","no","no","spore",280,"100","80","3500","28000","850000",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-1880_466_24"
"120","36-1880","470","11",3,"yes","yes","no","yes","yes","yes","spore",40,"100","280","93000","8.8e+07","1.8e+08",5,"100","28000","4e+07","1.9e+08","7e+07","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","aboveLOD","OK","OK","36-1880_470_11"
"121","36-1880","470","12",3,"yes","yes","no","yes","no","yes","spore",30,"100","260","9500","760000","3200000",5,"5","5","110","5000","4400","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","OK","OK","36-1880_470_12"
"122","36-1880","470","12-1",3,"yes","yes","no","no","no","no","spore",50,"30","140","1200","8500","1e+05",5,"5","5","5","1200","40","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","36-1880_470_12-1"
"123","36-1880","470","12-2",3,"yes","no","no","yes","no","no","spore",50,"90","200","21000","730000","3.7e+07",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-1880_470_12-2"
"124","36-1880","470","13",3,"yes","no","no","yes","no","no","spore",80,"60","90","950","NotTested","1400000",5,"5","5","5","NotTested","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","belowLOD","36-1880_470_13"
"125","36-1880","470","13-1",3,"yes","yes","yes","no","yes","yes","ppc",20,"41000","1.2e+07","1.6e+08","6.2e+07","5.7e+08",5,"67000","4e+07","2e+08","1.2e+08","7.2e+08","OK","OK","OK","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-1880_470_13-1"
"126","36-1880","470","14",3,"yes","yes","yes","no","yes","yes","ppc",100,"4e+05","9.9e+07","1.2e+09","5.3e+08","2.5e+08",5,"4e+05","6.2e+07","1.1e+09","6.4e+08","1.6e+08","OK","aboveLOD","OK","OK","OK","OK","belowLOD","aboveLOD","OK","OK","OK","OK","36-1880_470_14"
"127","36-1880","470","14-1",3,"yes","no","no","yes","no","no","spore",10,"40","280","840","24000","170000",5,"5","5","5","460","180","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","36-1880_470_14-1"
"128","36-2107","467","21",6,"yes","yes","no","yes","no","yes","spore",640,"710","2600","410000","2.7e+07","1.7e+09",5,"5","1500","30000","5","50000","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","OK","belowLOD","belowLOD","36-2107_467_21"
"129","36-2107","467","21-1",8,"yes","yes","no","yes","yes","yes","spore",1300,"NotTested","1600","3.4e+07","4e+07","8e+07",155,"NotTested","98000","4e+05","4e+07","7.3e+07","OK","OK","OK","OK","aboveLOD","OK","belowLOD","OK","OK","aboveLOD","aboveLOD","OK","36-2107_467_21-1"
"130","36-2107","467","22",7,"yes","yes","no","yes","yes","yes","spore",1200,"NotTested","1100","3400","24000","1.1e+07",5,"NotTested","20","340","19000","3400000","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-2107_467_22"
"131","36-2107","467","23",8,"yes","yes","no","yes","yes","yes","spore",430,"NotTested","410","4e+05","660000","4.1e+07",5,"NotTested","5700","4e+05","4e+07","1.4e+07","OK","OK","OK","aboveLOD","OK","OK","belowLOD","OK","OK","aboveLOD","aboveLOD","OK","36-2107_467_23"
"132","36-2107","467","23-1",8,"yes","yes","no","yes","yes","yes","spore",690,"NotTested","740","1.6e+07","1.4e+07","6.6e+07",5,"NotTested","2000","4e+05","1.3e+07","3.6e+07","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","aboveLOD","OK","OK","36-2107_467_23-1"
"133","36-2107","467","24",8,"yes","yes","no","yes","yes","yes","spore",630,"NotTested","580","4e+05","4e+07","7.4e+08",5,"NotTested","4e+05","4e+05","4e+07","1.1e+09","OK","OK","OK","aboveLOD","aboveLOD","OK","belowLOD","OK","aboveLOD","aboveLOD","aboveLOD","OK","36-2107_467_24"
"134","36-2107","472","31",3,"yes","yes","no","yes","yes","yes","spore",20,"20","30","4e+07","8.1e+08","8.6e+08",5,"5","5","4e+07","8e+08","8.4e+08","OK","OK","OK","aboveLOD","OK","OK","belowLOD","belowLOD","belowLOD","aboveLOD","OK","OK","36-2107_472_31"
"135","36-2107","472","31-1",3,"yes","yes","yes","no","yes","yes","ppc",2.5,"4e+05","4400000","2.5e+08","4.1e+08","9.2e+08",40,"4e+05","2.2e+08","1.6e+09","3e+08","8.2e+08","belowLOD","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-2107_472_31-1"
"136","36-2107","472","31-2",3,"yes","yes","yes","no","yes","yes","ppc",190,"110000","4e+05","4.6e+08","8.1e+07","1.1e+09",60,"4e+05","1.6e+08","8e+08","5.2e+08","1.4e+09","OK","OK","aboveLOD","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-2107_472_31-2"
"137","36-2107","472","32-1",3,"yes","yes","yes","no","yes","yes","ppc",100,"4e+05","2.6e+07","8.8e+08","3.7e+08","3.2e+08",5,"4e+05","6.1e+07","8.2e+08","3.6e+08","3.5e+08","OK","aboveLOD","OK","OK","OK","OK","belowLOD","aboveLOD","OK","OK","OK","OK","36-2107_472_32-1"
"138","36-2107","472","33-1",3,"yes","yes","yes","no","yes","yes","ppc",20,"4e+05","1.5e+07","7e+08","8.6e+08","4.2e+08",100,"4e+05","2.6e+08","1.3e+09","1e+09","6.8e+08","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-2107_472_33-1"
"139","36-2107","472","33-2",3,"yes","yes","yes","no","yes","yes","ppc",30,"4e+05","5e+06","6.9e+08","9.8e+08","6.4e+08",80,"4e+05","1.1e+08","1.8e+09","7.4e+08","6.2e+08","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-2107_472_33-2"
"140","36-2107","472","34",3,"yes","yes","yes","no","yes","yes","ppc",2.5,"2.5","23000","3.3e+07","1.7e+08","1.7e+08",5,"20","21000","3.3e+07","1.5e+08","1.7e+08","belowLOD","belowLOD","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-2107_472_34"
"141","36-2107","472","34-1",3,"yes","yes","yes","no","yes","yes","ppc",10,"110000","4e+07","2.9e+08","3.4e+08","3.9e+08",20,"4e+05","9.9e+07","1.1e+09","3.2e+08","7e+08","OK","OK","aboveLOD","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-2107_472_34-1"
"142","36-2151","464","21",3,"yes","yes","yes","no","yes","yes","ppc",1300,"1600","4e+07","160000","1.7e+08","7.8e+08",5,"1800","4e+05","3400000","8.4e+08","7.8e+08","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-2151_464_21"
"143","36-2151","464","21-1",3,"NotSpoiled","yes","no","no","yes","no","NotSpoiled",1000,"1400","1300","870","1300","16000",5,"5","5","5","5","8000","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","OK","36-2151_464_21-1"
"144","36-2151","464","21-2",3,"yes","yes","yes","no","yes","yes","ppc",540,"1200","4e+07","2.2e+07","1.6e+08","7.3e+08",5,"720","4e+05","2.3e+07","6e+07","4.4e+08","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-2151_464_21-2"
"145","36-2151","464","22",3,"yes","yes","yes","no","yes","yes","ppc",1400,"2600","4e+07","7900000","1.7e+08","3.3e+08",5,"2200","4e+05","8e+07","1.5e+08","2.4e+08","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-2151_464_22"
"146","36-2151","464","22-1",3,"yes","yes","yes","no","yes","yes","ppc",1500,"1800","4e+07","4.9e+07","3.8e+08","5.3e+08",5,"820","4e+05","3.2e+07","1.2e+08","2.4e+09","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-2151_464_22-1"
"147","36-2151","464","24",3,"yes","yes","yes","no","yes","yes","ppc",640,"39000","4e+07","6200000","4.6e+08","3.6e+08",5,"39000","4e+07","5.6e+07","5.6e+07","3.4e+08","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-2151_464_24"
"148","36-2151","464","24-1",3,"yes","yes","yes","no","yes","yes","ppc",580,"110000","4e+07","5.9e+07","3.5e+08","1.6e+09",5,"130000","4e+05","5.9e+07","3.6e+08","1.2e+09","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-2151_464_24-1"
"149","36-2151","469","21",3,"NotSpoiled","no","no","no","yes","no","NotSpoiled",220,"140","180","4300","230","1800",5,"5","5","5","5","740","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","OK","36-2151_469_21"
"150","36-2151","469","21-1",5,"yes","no","no","yes","no","no","spore",200,"NotTested","150","1900","220000","1400000",5,"NotTested","5","5","5","500","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","belowLOD","belowLOD","36-2151_469_21-1"
"151","36-2151","469","21-2",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",160,"220","200","150","350","2100",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-2151_469_21-2"
"152","36-2151","469","21-3",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",110,"130","170","110","180","840",5,"5","5","20","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","belowLOD","belowLOD","36-2151_469_21-3"
"153","36-2151","469","22",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",260,"220","120","120","170","260",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-2151_469_22"
"154","36-2151","469","22-1",5,"yes","no","no","yes","no","no","spore",280,"NotTested","540","670","40000","560000",5,"NotTested","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","belowLOD","belowLOD","36-2151_469_22-1"
"155","36-2151","469","22-2",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",240,"190","240","150","240","2700",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-2151_469_22-2"
"156","36-2151","469","23",3,"yes","yes","yes","no","yes","yes","ppc",140,"15000","1.2e+07","8.2e+07","25000","2.6e+08",5,"16000","1.4e+07","8.4e+07","50000","2e+08","OK","OK","OK","OK","belowLOD","OK","belowLOD","OK","OK","OK","belowLOD","OK","36-2151_469_23"
"157","36-2151","469","23-1",3,"yes","yes","no","yes","yes","yes","spore",170,"130","810","4e+07","1.6e+08","3.2e+08",5,"5","480","4e+07","6e+07","1.2e+08","OK","OK","OK","aboveLOD","OK","OK","belowLOD","belowLOD","OK","aboveLOD","OK","OK","36-2151_469_23-1"
"158","36-2151","469","24",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",240,"180","130","120","170","230",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-2151_469_24"
"159","36-2151","469","24-1",6,"yes","no","no","yes","no","no","spore",290,"NotTested","270","1900","75000","1400000",5,"NotTested","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","belowLOD","belowLOD","36-2151_469_24-1"
"160","36-2985","471","71",6,"NotSpoiled","no","no","no","no","no","NotSpoiled",160,"NotTested","90","190","NotTested","NotTested",5,"NotTested","5","5","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","OK","OK","36-2985_471_71"
"161","36-2985","471","71-1",3,"yes","yes","yes","no","yes","yes","ppc",590,"4e+05","1.6e+07","2e+07","NotTested","NotTested",260,"4e+05","3.4e+07","3.4e+07","NotTested","NotTested","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-2985_471_71-1"
"162","36-2985","471","72",3,"yes","yes","yes","no","yes","yes","ppc",230,"4e+05","1.6e+07","1.9e+08","NotTested","NotTested",80,"4e+05","1.6e+07","1.7e+08","NotTested","NotTested","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-2985_471_72"
"163","36-2985","471","72-1",7,"yes","yes","yes","no","yes","yes","ppc",130000,"NotTested","1.6e+07","8.5e+07","NotTested","NotTested",4e+05,"NotTested","1e+07","7.7e+07","NotTested","NotTested","OK","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","OK","36-2985_471_72-1"
"164","36-2985","471","73",3,"yes","yes","yes","no","yes","yes","ppc",250,"130000","1.4e+07","6.1e+07","NotTested","NotTested",5,"130000","1.9e+07","9e+07","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-2985_471_73"
"165","36-2985","471","73-1",3,"yes","yes","yes","no","yes","yes","ppc",170,"4e+05","1.2e+07","1.1e+07","NotTested","NotTested",140,"4e+05","3.5e+07","2.2e+08","NotTested","NotTested","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-2985_471_73-1"
"166","36-2985","471","73-2",3,"yes","yes","yes","no","yes","yes","ppc",550,"4e+05","3.8e+07","7e+07","NotTested","NotTested",280,"4e+05","3.5e+07","5.6e+07","NotTested","NotTested","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-2985_471_73-2"
"167","36-2985","471","74",6,"NotSpoiled","no","no","no","no","no","NotSpoiled",230,"NotTested","120","190","NotTested","NotTested",5,"NotTested","5","5","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","OK","OK","36-2985_471_74"
"168","36-2985","471","74-1",3,"yes","yes","yes","no","yes","yes","ppc",780,"4e+05","1.1e+07","2.7e+07","NotTested","NotTested",480,"4e+05","3.2e+07","1.6e+08","NotTested","NotTested","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-2985_471_74-1"
"169","36-3108","466","41",5,"yes","yes","yes","no","yes","yes","ppc",280,"3000","320000","1.7e+08","NotTested","NotTested",20,"2500","420000","1.1e+08","NotTested","NotTested","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","36-3108_466_41"
"170","36-3108","466","42",5,"yes","yes","yes","no","yes","yes","ppc",2300,"2400","860000","9.4e+07","NotTested","NotTested",5,"1700","680000","9.9e+07","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-3108_466_42"
"171","36-3108","466","43",5,"NotSpoiled","no","no","no","no","no","NotSpoiled",2100,"1100","2000","2500","NotTested","NotTested",5,"5","5","5","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","36-3108_466_43"
"172","36-3108","468","41",1,"yes","yes","yes","no","yes","yes","ppc",3300,"19000","2.3e+07","1.2e+09","NotTested","NotTested",5,"18000","60000","1.3e+09","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-3108_468_41"
"173","36-3108","468","42",1,"NotSpoiled","yes","no","no","yes","no","NotSpoiled",4200,"4600","5100","10000","NotTested","NotTested",5,"20","1700","5","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","belowLOD","OK","OK","36-3108_468_42"
"174","36-3108","468","43",1,"NotSpoiled","yes","no","no","yes","no","NotSpoiled",2600,"1900","3200","19000","NotTested","NotTested",5,"5","120","3700","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","OK","OK","OK","36-3108_468_43"
"175","36-3661","464","31",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",1600,"1300","1800","6100","NotTested","NotTested",5,"5","5","220","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","OK","OK","36-3661_464_31"
"176","36-3661","464","32",3,"yes","yes","no","yes","yes","no","spore",1800,"920","1600","5400000","NotTested","NotTested",5,"5","5","6400000","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","OK","OK","36-3661_464_32"
"177","36-3661","464","32-1",3,"yes","yes","yes","no","yes","yes","ppc",1400,"22000","4e+07","7.4e+07","NotTested","NotTested",5,"28000","4e+05","6.8e+07","NotTested","NotTested","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-3661_464_32-1"
"178","36-3661","464","32-2",3,"yes","yes","no","no","yes","yes","REVIEW",1600,"1500","1800","45000","NotTested","NotTested",5,"20","8800","35000","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-3661_464_32-2"
"179","36-3661","464","32-3",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",1600,"1200","1500","9200","NotTested","NotTested",5,"5","5","5","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","36-3661_464_32-3"
"180","36-3661","464","32-4",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",1400,"5100","1700","2200","NotTested","NotTested",5,"5","5","20","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","OK","OK","36-3661_464_32-4"
"181","36-3661","464","32-5",3,"yes","yes","yes","no","yes","yes","ppc",1700,"1500","4e+07","5.1e+07","NotTested","NotTested",5,"420","4e+05","4.2e+07","NotTested","NotTested","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-3661_464_32-5"
"182","36-3661","464","32-6",3,"NotSpoiled","yes","no","no","yes","no","NotSpoiled",1500,"1500","1600","12000","NotTested","NotTested",5,"5","40","4300","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","OK","OK","OK","36-3661_464_32-6"
"183","36-3661","464","33",3,"NotSpoiled","yes","no","no","yes","no","NotSpoiled",1500,"2300","17000","9000","NotTested","NotTested",5,"5","5","2000","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","OK","OK","36-3661_464_33"
"184","36-3661","464","33-1",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",540,"2100","2100","1500","NotTested","NotTested",5,"5","5","5","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","36-3661_464_33-1"
"185","36-3661","464","33-2",3,"yes","no","no","yes","no","no","spore",2500,"2700","3800","530000","NotTested","NotTested",5,"5","400","5","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","belowLOD","OK","OK","36-3661_464_33-2"
"186","36-3661","464","33-3",3,"yes","yes","yes","no","yes","yes","ppc",2300,"11000","3400000","6e+06","NotTested","NotTested",5,"59000","4e+05","3.4e+07","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-3661_464_33-3"
"187","36-3661","464","33-4",3,"yes","no","yes","no","no","no","spore",1600,"2300","380000","1.2e+07","NotTested","NotTested",5,"5","600","500","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","belowLOD","OK","OK","36-3661_464_33-4"
"188","36-3661","464","34",3,"yes","yes","no","yes","yes","no","spore",1400,"1200","2000","140000","NotTested","NotTested",5,"20","5","140000","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","OK","OK","OK","36-3661_464_34"
"189","36-3661","464","34-1",3,"yes","yes","yes","no","yes","yes","ppc",1800,"2400","130000","2.4e+07","NotTested","NotTested",5,"5","4e+05","2.7e+07","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","aboveLOD","OK","OK","OK","36-3661_464_34-1"
"190","36-3661","471","21",3,"yes","no","no","no","no","no","spore",120,"120","130","520","3500","91000",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-3661_471_21"
